Ativos,,,,
,Caixa,,,1000.00
,Contas a Receber,,,14000.00
,Despesas Pagas Antecipadamente,,,50.00
,Creditos,,,400.00
,Intangivel,,,380.00
,Estoques,,,300.00
,Imobilizado,,,15000.00
,Investimento de Longo Prazo,,,1020.00
,Demais Ativos de Longo Prazo,,,12000.00
Total Ativos,,,,44150.00
Passivos,,,,
,Contas a Pagar,,,300.00
,Taxas Devidas,,,500.00
,Emprestimos Bancarios,,,5000.00
Total Passivos,,,,5800.00
Patrimonio Liquido,,,,
,Lucros Acumulados,,,38350.00
Total Patrimonio Liquido,,,,38350.00
Total Passivos e Patrimonio Liquido,,,,44150.00
